Model,Learning Rate,Epochs,Weight Decay,Hidden Channels,MSE,Torch MSE,MAE,R2,RMSE,EV Score
GraphSAGE,0.05,50,5e-05,32,1269.9559,1269.9560546875,25.190582,0.4923860073373745,35.63644,0.49803902705510456
GIN,0.05,50,5e-05,32,2915.6406,2915.64013671875,36.72394,0.08597418689600816,53.996674,0.2758704076210658
GCN,0.05,50,5e-05,64,6433.426,6433.42724609375,54.364758,-1.0159763528691024,80.20864,6.953875223795573e-08
GAT,0.05,50,5e-05,64,2528.6863,2528.686279296875,37.655277,0.12146563466798344,50.286045,0.1325820634762446
GraphSAGE,0.05,50,5e-05,64,1276.693,1276.693115234375,25.06292,0.4894882010095672,35.730843,0.4977928002675374
GIN,0.05,50,5e-05,64,2316.4897,2316.48974609375,35.132927,0.19640670830375426,48.129925,0.2122767517964045
GCN,0.05,50,5e-05,128,5281.0845,5281.0849609375,49.22818,-0.6757579041130298,72.671074,-4.967053731282552e-08
GAT,0.05,50,5e-05,128,3489.6038,3489.603271484375,42.727474,-0.3005132456861737,59.07287,-0.24343783656756082
GraphSAGE,0.05,50,5e-05,128,1356.9144,1356.9144287109375,26.56172,0.4625964491618295,36.83632,0.46557408571243286
GIN,0.05,50,5e-05,128,2773.7666,2773.766357421875,39.11816,0.08722824930344593,52.66656,0.3771635244290034
GCN,0.05,50,5e-05,256,2135.2927,2135.29296875,34.67306,0.22717850400195147,46.20923,0.23748367528120676
GAT,0.05,50,5e-05,256,15695.013,15695.0107421875,90.9685,-5.230522950928644,125.27974,-4.695172508557637
GraphSAGE,0.05,50,5e-05,256,1525.3955,1525.395263671875,29.199656,0.424822104912486,39.056313,0.4391547193129857
GIN,0.05,50,5e-05,256,177045.92,177045.921875,124.53475,-51.61096026960802,420.76825,-47.25699051717917
GCN,0.05,50,5e-05,512,1839.8519,1839.8516845703125,31.350304,0.36887778829422085,42.893494,0.3735387126604716
GAT,0.05,50,5e-05,512,2820905.2,2820905.25,1515.0961,-1342.7538107509397,1679.555,-184.56028397878012
GraphSAGE,0.05,50,5e-05,512,1646.1935,1646.1934814453125,28.981142,0.4025214204734815,40.57331,0.43502657612164813
GIN,0.05,50,5e-05,512,23645.518,23645.517578125,118.66717,-6.097887054073966,153.771,-0.9847688923279444
GCN,0.05,100,0.05,32,1322.8843,1322.8843994140625,25.842508,0.5541988671486789,36.371475,0.5545240690310796
GAT,0.05,100,0.05,32,5783.7095,5783.71044921875,51.04955,-0.8263752036685266,76.050705,4.967053731282552e-08
GraphSAGE,0.05,100,0.05,32,1209.0992,1209.09912109375,24.62909,0.5115082749892124,34.772106,0.5124214142560959
GIN,0.05,100,0.05,32,1435.8849,1435.885009765625,25.992416,0.5440940778581972,37.89307,0.6896762947241465
GCN,0.05,100,0.05,64,1483.1069,1483.1068115234375,27.210205,0.5016274531286453,38.511127,0.5029926548401514
GAT,0.05,100,0.05,64,1874.7106,1874.71044921875,31.266327,0.39670272778890875,43.297928,0.39757123589515686
GraphSAGE,0.05,100,0.05,64,1227.433,1227.4329833984375,24.733965,0.5049104533876899,35.03474,0.5058333724737167
GIN,0.05,100,0.05,64,620.7952,620.7952270507812,17.844198,0.7891160815415647,24.915762,0.806962658961614
GCN,0.05,100,0.05,128,1735.7329,1735.7327880859375,29.086044,0.40935817320304774,41.66213,0.44218355417251587
GAT,0.05,100,0.05,128,5923.1914,5923.1904296875,52.678684,-0.8593661116104028,76.96227,1.4901161193847656e-08
GraphSAGE,0.05,100,0.05,128,7426.891,7426.890625,58.807194,-1.31543630031845,86.17941,5.463759104410807e-08
GIN,0.05,100,0.05,128,653.8832,653.8831176757812,17.951143,0.7784016671019097,25.57114,0.8374686936537424
GCN,0.05,100,0.05,256,6392.9106,6392.9111328125,54.22836,-1.0036645670073294,79.95568,-6.953875223795573e-08
GAT,0.05,100,0.05,256,4800.178,4800.1787109375,48.83713,-0.647687727013747,69.28332,-0.27339420715967816
GraphSAGE,0.05,100,0.05,256,828.5898,828.5896606445312,19.919415,0.6876313917035818,28.785236,0.6885009209314982
GIN,0.05,100,0.05,256,1644.0674,1644.0673828125,28.97325,0.4589565014981119,40.5471,0.49124198655287427
GCN,0.05,100,0.05,512,1547.7075,1547.7073974609375,28.221312,0.4776648999595741,39.340916,0.48068465292453766
GAT,0.05,100,0.05,512,7405.1562,7405.15771484375,61.65462,-3.5102445943495026,86.053215,-3.1654349267482758
GraphSAGE,0.05,100,0.05,512,1804.3756,1804.375732421875,30.63547,0.3321173959067038,42.477943,0.49206336339314777
GIN,0.05,100,0.05,512,258588.44,258588.421875,409.5277,-74.11037197406309,508.51593,-8.727240666747093
GCN,0.05,100,0.005,32,1402.1427,1402.142822265625,26.702255,0.5299751243298627,37.445194,0.5324815114339193
GAT,0.05,100,0.005,32,1794.1718,1794.1715087890625,30.317879,0.4001493751309986,42.357666,0.4064995547135671
GraphSAGE,0.05,100,0.005,32,379.8317,379.8316345214844,13.883922,0.8569894229949523,19.489271,0.8572380592425665
GIN,0.05,100,0.005,32,875.2769,875.2769775390625,21.237303,0.6729108166440391,29.58508,0.7140126625696818
GCN,0.05,100,0.005,64,1518.195,1518.195068359375,28.050322,0.4772966289629697,38.96402,0.47751887639363605
GAT,0.05,100,0.005,64,2291.0876,2291.08740234375,34.30996,0.1859878126352459,47.865307,0.18693023920059204
GraphSAGE,0.05,100,0.005,64,1233.0487,1233.0487060546875,24.810686,0.5027044846204943,35.11479,0.5040657271941503
GIN,0.05,100,0.005,64,1932.9429,1932.94287109375,31.27546,0.3892143588399261,43.965244,0.5509186784426371
GCN,0.05,100,0.005,128,2007.0868,2007.08642578125,33.993183,0.2711280000052351,44.80052,0.2796899179617564
GAT,0.05,100,0.005,128,2590.293,2590.29248046875,38.144436,0.06580667571742847,50.89492,0.08165591955184937
GraphSAGE,0.05,100,0.005,128,614.1293,614.1292724609375,17.49362,0.7762350953462466,24.781631,0.7765961587429047
GIN,0.05,100,0.005,128,1770.7635,1770.763671875,27.8805,0.41889877237605105,42.08044,0.4656229416529338
GCN,0.05,100,0.005,256,1710.8081,1710.8079833984375,30.022184,0.4192148114499343,41.361916,0.4238283336162567
GAT,0.05,100,0.005,256,7622.5215,7622.521484375,63.42248,-2.1135096934869746,87.30705,-2.0313305854797363
GraphSAGE,0.05,100,0.005,256,1563.9508,1563.95068359375,28.898123,0.43094206414663644,39.546818,0.436971257130305
GIN,0.05,100,0.005,256,618.73376,618.7337036132812,17.228989,0.7851303176768929,24.87436,0.8155595560868582
GCN,0.05,100,0.005,512,1615.4667,1615.466552734375,29.477379,0.44333521457127106,40.192867,0.4462761680285136
GAT,0.05,100,0.005,512,3985.8176,3985.818359375,51.765903,-0.6403921641452116,63.13333,-0.2903618762890498
GraphSAGE,0.05,100,0.005,512,1566.519,1566.51904296875,29.854418,0.4271260199037401,39.579277,0.43555336197217304
GIN,0.05,100,0.005,512,17644.135,17644.1328125,39.339664,-5.603710500744611,132.83122,-5.541541179021199
GCN,0.05,100,0.0005,32,1186.1421,1186.1419677734375,24.831434,0.6041545760327015,34.440414,0.612846776843071
GAT,0.05,100,0.0005,32,1428.4468,1428.4466552734375,27.837263,0.4976146190341244,37.7948,0.49935996532440186
GraphSAGE,0.05,100,0.0005,32,1230.3688,1230.36865234375,24.778917,0.5018261947877051,35.076614,0.5068803032239279
GIN,0.05,100,0.0005,32,1083.6871,1083.687255859375,24.280245,0.6502706483255363,32.919403,0.7357043921947479
GCN,0.05,100,0.0005,64,1637.9971,1637.9971923828125,28.911322,0.4541473385431028,40.472176,0.4549413075049718
GAT,0.05,100,0.0005,64,2115.8662,2115.865966796875,34.437496,0.23943350768763158,45.998547,0.24224181969960532
GraphSAGE,0.05,100,0.0005,64,3209.628,3209.62744140625,40.499287,-0.08898281453419386,56.65358,3.476937611897787e-08
GIN,0.05,100,0.0005,64,1282.3927,1282.392822265625,25.04555,0.5155980248235869,35.810513,0.5712989966074625
GCN,0.05,100,0.0005,128,2898.127,2898.126220703125,39.425934,-0.0009112777489851213,53.834255,9.934107462565104e-09
