Model,Learning Rate,Epochs,Weight Decay,Hidden Channels,Test Results
GIN,0.001,1000,0.05,64,"{'mse': 807.1281, 'torch_mse': 807.1279907226562, 'mae': 20.114214, 'r2': 0.72392186738618, 'rmse': 28.41, 'ev_score': 0.7610522210597992, 'y_true': array([[  4.,  13.,   6., ...,  21., 262.,   7.],
       [  0.,   0.,   0., ...,   0.,  99.,   0.],
       [ 12.,   0.,   0., ...,   0.,  85.,   0.],
       ...,
       [  1.,   1.,   0., ...,   1.,  71.,   0.],
       [ 98.,  79.,  81., ..., 101.,  89.,   0.],
       [ 22.,  29.,  20., ...,  27., 152.,   0.]], dtype=float32), 'y_pred': array([[116.4366    ,  78.484886  ,   6.92227   , ...,  37.357517  ,
        164.97937   ,  -2.570418  ],
       [ 39.845943  ,  26.332222  ,   1.1576457 , ...,  11.699714  ,
         56.206223  ,  -2.2695594 ],
       [ 37.534992  ,  23.048466  ,  -1.0050097 , ...,   8.565521  ,
         53.070274  ,  -2.6202092 ],
       ...,
       [ 25.759838  ,  16.899603  ,   0.16662936, ...,   6.4125066 ,
         37.541092  ,  -2.3911698 ],
       [ 69.91507   ,  63.36011   ,  53.873043  , ...,  61.817608  ,
         78.8947    ,  37.56509   ],
       [ 71.195145  ,  50.750816  ,  14.25296   , ...,  30.3636    ,
         95.28229   ,   6.0395265 ]], dtype=float32)}"
GCN,0.001,1000,0.05,128,"{'mse': 323.329, 'torch_mse': 323.32904052734375, 'mae': 12.3586035, 'r2': 0.8989804769168517, 'rmse': 17.981352, 'ev_score': 0.9003346016009649, 'y_true': array([[  4.,  13.,   6., ...,  21., 262.,   7.],
       [  0.,   0.,   0., ...,   0.,  99.,   0.],
       [ 12.,   0.,   0., ...,   0.,  85.,   0.],
       ...,
       [  1.,   1.,   0., ...,   1.,  71.,   0.],
       [ 98.,  79.,  81., ..., 101.,  89.,   0.],
       [ 22.,  29.,  20., ...,  27., 152.,   0.]], dtype=float32), 'y_pred': array([[  4.8740277 ,  14.993271  ,  11.222403  , ...,  17.08068   ,
        262.28583   ,  13.046401  ],
       [ 29.955765  ,  -3.6508641 ,  -4.656506  , ...,   4.455232  ,
         92.93879   ,  -1.4252642 ],
       [ 47.24455   , -16.262316  ,   2.278557  , ...,   0.8780383 ,
         80.3157    ,   0.37932158],
       ...,
       [  7.8309574 ,   1.1976302 ,  -7.201454  , ...,  -6.982564  ,
         63.19678   ,  -3.1902747 ],
       [ 92.18483   ,  94.67019   ,  77.27481   , ..., 102.09779   ,
         98.760925  ,  -0.63415885],
       [ 44.756298  ,  17.81309   ,  34.828045  , ...,  26.219711  ,
        202.63275   ,   1.487297  ]], dtype=float32)}"
GAT,0.001,1000,0.05,128,"{'mse': 1533.7882, 'torch_mse': 1533.788330078125, 'mae': 24.341324, 'r2': 0.4967121506616057, 'rmse': 39.16361, 'ev_score': 0.49671219786008197, 'y_true': array([[  4.,  13.,   6., ...,  21., 262.,   7.],
       [  0.,   0.,   0., ...,   0.,  99.,   0.],
       [ 12.,   0.,   0., ...,   0.,  85.,   0.],
       ...,
       [  1.,   1.,   0., ...,   1.,  71.,   0.],
       [ 98.,  79.,  81., ..., 101.,  89.,   0.],
       [ 22.,  29.,  20., ...,  27., 152.,   0.]], dtype=float32), 'y_pred': array([[ 5.9994240e+01,  1.9418886e+01,  9.9543279e-01, ...,
         2.3860064e+01,  1.5646613e+02,  9.8928958e-01],
       [ 3.2143480e-01,  3.3877128e-01, -6.1677184e-02, ...,
         4.0921133e-02,  9.9165649e+01, -9.0604007e-02],
       [ 2.0759541e+01, -2.1198623e-01, -3.6710003e-01, ...,
         1.4058170e-01,  5.3195526e+01, -2.0124964e-01],
       ...,
       [ 4.0517907e+00,  2.6257486e+00,  5.3835863e-01, ...,
         3.0576034e+00,  6.0140919e+01,  6.9195604e-01],
       [ 9.7903992e+01,  7.9008720e+01,  8.1088531e+01, ...,
         1.0093652e+02,  8.9089966e+01,  4.4516880e-02],
       [ 1.8506124e+01,  1.6951227e+01,  1.0028162e+01, ...,
         1.3483783e+01,  1.7204016e+02,  2.5611449e-02]], dtype=float32)}"
GraphSAGE,0.001,1000,0.05,128,"{'mse': 3.7251256, 'torch_mse': 3.725125789642334, 'mae': 1.4843947, 'r2': 0.9987520292023495, 'rmse': 1.9300585, 'ev_score': 0.9992231776316961, 'y_true': array([[  4.,  13.,   6., ...,  21., 262.,   7.],
       [  0.,   0.,   0., ...,   0.,  99.,   0.],
       [ 12.,   0.,   0., ...,   0.,  85.,   0.],
       ...,
       [  1.,   1.,   0., ...,   1.,  71.,   0.],
       [ 98.,  79.,  81., ..., 101.,  89.,   0.],
       [ 22.,  29.,  20., ...,  27., 152.,   0.]], dtype=float32), 'y_pred': array([[ 5.83442497e+00,  1.42953796e+01,  6.47468853e+00, ...,
         2.23928986e+01,  2.65697296e+02,  6.65763092e+00],
       [-2.70212603e+00,  8.24913755e-02, -2.15820265e+00, ...,
         1.82251954e+00,  1.02346115e+02,  7.84870982e-01],
       [ 1.28051300e+01, -7.19849486e-03, -1.85787722e-01, ...,
        -1.65108457e-01,  8.66173553e+01,  9.71194625e-01],
       ...,
       [ 6.26493335e-01,  2.68034339e+00, -1.38299596e+00, ...,
         2.48248315e+00,  7.24706192e+01,  1.83471537e+00],
       [ 1.00906792e+02,  8.22595367e+01,  8.23191605e+01, ...,
         1.01851242e+02,  9.23759537e+01,  1.18972337e+00],
       [ 2.46528091e+01,  3.15296974e+01,  2.16424637e+01, ...,
         2.72990608e+01,  1.55315536e+02,  1.78316104e+00]], dtype=float32)}"
GIN,0.001,1000,0.05,128,"{'mse': 264.6911, 'torch_mse': 264.6911315917969, 'mae': 10.568206, 'r2': 0.9082343688057035, 'rmse': 16.269331, 'ev_score': 0.9132304390271505, 'y_true': array([[  4.,  13.,   6., ...,  21., 262.,   7.],
       [  0.,   0.,   0., ...,   0.,  99.,   0.],
       [ 12.,   0.,   0., ...,   0.,  85.,   0.],
       ...,
       [  1.,   1.,   0., ...,   1.,  71.,   0.],
       [ 98.,  79.,  81., ..., 101.,  89.,   0.],
       [ 22.,  29.,  20., ...,  27., 152.,   0.]], dtype=float32), 'y_pred': array([[ 7.2880905e+01,  2.1375473e+01,  7.9832921e+00, ...,
         1.7448601e+01,  2.2481844e+02, -4.7746149e-01],
       [ 2.5099588e+01,  2.4934740e+00,  7.4331149e-02, ...,
        -8.2484519e-01,  8.1327263e+01, -1.4179034e+00],
       [ 2.9579790e+01,  5.8362799e+00,  1.9180655e-01, ...,
         7.2454691e-01,  7.4956299e+01, -9.4822979e-01],
       ...,
       [ 1.9474232e+01,  4.4568410e+00, -8.2469672e-02, ...,
         4.3795317e-01,  5.4258823e+01, -3.8535409e+00],
       [ 7.5677162e+01,  7.4668922e+01,  6.8992889e+01, ...,
         8.1172836e+01,  8.1807663e+01,  2.6601015e+01],
       [ 4.8163006e+01,  2.2454370e+01,  1.8547268e+01, ...,
         2.2213013e+01,  1.2649727e+02,  4.0138011e+00]], dtype=float32)}"
GCN,0.001,1000,0.05,256,"{'mse': 220.69917, 'torch_mse': 220.69923400878906, 'mae': 10.11011, 'r2': 0.9308567756679184, 'rmse': 14.8559475, 'ev_score': 0.9314879675706228, 'y_true': array([[  4.,  13.,   6., ...,  21., 262.,   7.],
       [  0.,   0.,   0., ...,   0.,  99.,   0.],
       [ 12.,   0.,   0., ...,   0.,  85.,   0.],
       ...,
       [  1.,   1.,   0., ...,   1.,  71.,   0.],
       [ 98.,  79.,  81., ..., 101.,  89.,   0.],
       [ 22.,  29.,  20., ...,  27., 152.,   0.]], dtype=float32), 'y_pred': array([[ 11.785125  ,  20.921982  ,   2.2167757 , ...,  14.478085  ,
        257.33633   ,   3.255849  ],
       [ 30.078053  ,   1.1865444 ,  -0.39720428, ...,   4.4761    ,
         97.70796   ,  -0.87542665],
       [ 46.094307  ,  -6.267294  ,   0.9535834 , ...,   0.97316474,
         80.03742   ,  -1.7786149 ],
       ...,
       [ 22.419579  ,   7.983591  ,  -9.270864  , ..., -14.426736  ,
         66.29292   ,  -2.7178528 ],
       [ 91.84132   ,  81.97571   ,  82.54819   , ..., 100.927     ,
         95.63399   ,  -0.28205082],
       [ 23.428545  ,  14.211841  ,  27.015265  , ...,  28.364248  ,
        176.89331   ,  -0.7538173 ]], dtype=float32)}"
GAT,0.001,1000,0.05,256,"{'mse': 852.4558, 'torch_mse': 852.4558715820312, 'mae': 16.376331, 'r2': 0.7365623607885513, 'rmse': 29.196846, 'ev_score': 0.7365623364845911, 'y_true': array([[  4.,  13.,   6., ...,  21., 262.,   7.],
       [  0.,   0.,   0., ...,   0.,  99.,   0.],
       [ 12.,   0.,   0., ...,   0.,  85.,   0.],
       ...,
       [  1.,   1.,   0., ...,   1.,  71.,   0.],
       [ 98.,  79.,  81., ..., 101.,  89.,   0.],
       [ 22.,  29.,  20., ...,  27., 152.,   0.]], dtype=float32), 'y_pred': array([[6.0008648e+01, 1.9426060e+01, 9.9053156e-01, ..., 2.3872227e+01,
        1.5643010e+02, 9.9770266e-01],
       [6.0523510e+00, 5.1946107e-02, 6.0953960e-02, ..., 9.4045997e-03,
        9.1986702e+01, 2.1154866e-02],
       [6.0523996e+00, 5.1943157e-02, 6.0954764e-02, ..., 9.3986169e-03,
        9.1986740e+01, 2.1154352e-02],
       ...,
       [2.4519436e+01, 2.6248732e+01, 2.5120696e-01, ..., 4.2682281e+00,
        6.3496159e+01, 4.3422505e-03],
       [7.9204491e+01, 3.9403217e+01, 2.6800585e+01, ..., 2.9395279e+01,
        1.9320622e+02, 6.2158182e-03],
       [7.9204491e+01, 3.9403217e+01, 2.6800585e+01, ..., 2.9395279e+01,
        1.9320622e+02, 6.2158182e-03]], dtype=float32)}"
GraphSAGE,0.001,1000,0.05,256,"{'mse': 4.3055024, 'torch_mse': 4.305502414703369, 'mae': 1.6372789, 'r2': 0.9986740006850975, 'rmse': 2.0749705, 'ev_score': 0.9996312906344732, 'y_true': array([[  4.,  13.,   6., ...,  21., 262.,   7.],
       [  0.,   0.,   0., ...,   0.,  99.,   0.],
       [ 12.,   0.,   0., ...,   0.,  85.,   0.],
       ...,
       [  1.,   1.,   0., ...,   1.,  71.,   0.],
       [ 98.,  79.,  81., ..., 101.,  89.,   0.],
       [ 22.,  29.,  20., ...,  27., 152.,   0.]], dtype=float32), 'y_pred': array([[ 7.31181860e-01,  1.05364285e+01,  5.51349688e+00, ...,
         2.00945816e+01,  2.58450500e+02,  6.88995314e+00],
       [-2.06520224e+00, -2.10065818e+00, -5.50993502e-01, ...,
        -4.36284393e-02,  9.63074265e+01, -7.32532024e-01],
       [ 1.00448675e+01, -1.60468781e+00, -2.09965870e-01, ...,
        -5.60013652e-01,  8.21353226e+01, -4.88073796e-01],
       ...,
       [-1.31697035e+00, -4.57408488e-01, -1.13509715e+00, ...,
         7.19456077e-01,  6.92993774e+01,  3.83292675e-01],
       [ 9.49141617e+01,  7.45868530e+01,  7.88451843e+01, ...,
         9.94363098e+01,  8.56823654e+01, -2.31369466e-01],
       [ 1.91064816e+01,  2.60210075e+01,  1.93312702e+01, ...,
         2.63436794e+01,  1.48385651e+02,  1.96489096e-01]], dtype=float32)}"
GIN,0.001,1000,0.05,256,"{'mse': 92.660774, 'torch_mse': 92.66078186035156, 'mae': 6.329349, 'r2': 0.9694015831775212, 'rmse': 9.626046, 'ev_score': 0.9730962216854095, 'y_true': array([[  4.,  13.,   6., ...,  21., 262.,   7.],
       [  0.,   0.,   0., ...,   0.,  99.,   0.],
       [ 12.,   0.,   0., ...,   0.,  85.,   0.],
       ...,
       [  1.,   1.,   0., ...,   1.,  71.,   0.],
       [ 98.,  79.,  81., ..., 101.,  89.,   0.],
       [ 22.,  29.,  20., ...,  27., 152.,   0.]], dtype=float32), 'y_pred': array([[ 1.2030047e+01,  1.2693600e+01,  5.8938842e+00, ...,
         2.0518610e+01,  2.5065318e+02,  5.1094465e+00],
       [ 2.2367139e+00,  5.6944442e-01,  3.7185687e-01, ...,
         2.8566068e-01,  9.3148178e+01, -8.0923516e-01],
       [ 1.8330973e+01, -4.8139210e+00, -3.8100377e-02, ...,
        -1.2822077e+00,  8.0820915e+01,  5.6925669e-02],
       ...,
       [ 2.5527744e+00,  1.8052404e+00,  1.2415657e+00, ...,
        -2.4383470e-01,  6.2142670e+01,  3.2291391e-01],
       [ 7.6968758e+01,  7.7189606e+01,  7.6069855e+01, ...,
         8.2823639e+01,  7.9754028e+01,  7.0552921e+00],
       [ 2.1666521e+01,  1.9596319e+01,  2.2848526e+01, ...,
         2.3432692e+01,  1.2961360e+02,  9.8387694e-01]], dtype=float32)}"
GCN,0.001,1000,0.05,512,"{'mse': 162.63615, 'torch_mse': 162.6361541748047, 'mae': 8.661463, 'r2': 0.9499737758248918, 'rmse': 12.752888, 'ev_score': 0.9538411498069763, 'y_true': array([[  4.,  13.,   6., ...,  21., 262.,   7.],
       [  0.,   0.,   0., ...,   0.,  99.,   0.],
       [ 12.,   0.,   0., ...,   0.,  85.,   0.],
       ...,
       [  1.,   1.,   0., ...,   1.,  71.,   0.],
       [ 98.,  79.,  81., ..., 101.,  89.,   0.],
       [ 22.,  29.,  20., ...,  27., 152.,   0.]], dtype=float32), 'y_pred': array([[ 9.03475952e+00,  1.35668640e+01,  3.78164864e+00, ...,
         1.28933687e+01,  2.61190125e+02,  8.46048832e+00],
       [ 3.24568672e+01, -7.01663971e-01,  1.65672302e-02, ...,
         4.26330805e+00,  1.08172409e+02, -8.48739982e-01],
       [ 4.32059364e+01, -3.68735695e+00, -5.37721634e-01, ...,
        -3.81064653e+00,  8.17008896e+01,  2.20121384e-01],
       ...,
       [ 8.68452072e+00,  8.99678421e+00, -1.06204128e+00, ...,
         1.89564133e+00,  6.25543442e+01,  2.76759243e+00],
       [ 1.00870255e+02,  8.50562286e+01,  8.37081375e+01, ...,
         1.05215736e+02,  9.87595062e+01,  1.17065048e+00],
       [ 3.04183044e+01,  2.43883400e+01,  2.31434059e+01, ...,
         2.75742283e+01,  1.74719543e+02,  6.44916773e-01]], dtype=float32)}"
GAT,0.001,1000,0.05,512,"{'mse': 1168.5948, 'torch_mse': 1168.594970703125, 'mae': 18.630033, 'r2': 0.61272282483046, 'rmse': 34.184715, 'ev_score': 0.6127267628908157, 'y_true': array([[  4.,  13.,   6., ...,  21., 262.,   7.],
       [  0.,   0.,   0., ...,   0.,  99.,   0.],
       [ 12.,   0.,   0., ...,   0.,  85.,   0.],
       ...,
       [  1.,   1.,   0., ...,   1.,  71.,   0.],
       [ 98.,  79.,  81., ..., 101.,  89.,   0.],
       [ 22.,  29.,  20., ...,  27., 152.,   0.]], dtype=float32), 'y_pred': array([[ 1.2194750e+01,  1.0596725e+01,  8.3393459e+00, ...,
         1.7246944e+01,  1.5349355e+02,  6.5843086e+00],
       [ 3.8733736e-02,  1.4782715e-01, -5.1479244e-01, ...,
         5.7132721e-01,  9.9289810e+01,  3.3251762e-01],
       [ 1.2484352e+01, -1.3628006e-03,  8.1605244e-01, ...,
        -5.1344967e-01,  8.4916130e+01, -2.6932716e-01],
       ...,
       [ 2.4798296e+01,  2.6634375e+01,  4.9071503e-01, ...,
         4.4020844e+00,  6.3593502e+01, -3.0548096e-02],
       [ 7.9688843e+01,  4.0037003e+01,  2.7267502e+01, ...,
         2.9602684e+01,  1.9340881e+02, -6.8542480e-02],
       [ 7.9688843e+01,  4.0037003e+01,  2.7267502e+01, ...,
         2.9602684e+01,  1.9340881e+02, -6.8542480e-02]], dtype=float32)}"
GraphSAGE,0.001,1000,0.05,512,"{'mse': 0.68541795, 'torch_mse': 0.6854179501533508, 'mae': 0.627583, 'r2': 0.9997925845547545, 'rmse': 0.8278997, 'ev_score': 0.9999518742163976, 'y_true': array([[  4.,  13.,   6., ...,  21., 262.,   7.],
       [  0.,   0.,   0., ...,   0.,  99.,   0.],
       [ 12.,   0.,   0., ...,   0.,  85.,   0.],
       ...,
       [  1.,   1.,   0., ...,   1.,  71.,   0.],
       [ 98.,  79.,  81., ..., 101.,  89.,   0.],
       [ 22.,  29.,  20., ...,  27., 152.,   0.]], dtype=float32), 'y_pred': array([[ 2.7255135e+00,  1.2430024e+01,  5.8130789e+00, ...,
         2.0845514e+01,  2.5978949e+02,  6.8029141e+00],
       [-8.1259799e-01, -4.7628689e-01, -2.3609114e-01, ...,
         4.7254562e-03,  9.7622604e+01, -8.5690469e-02],
       [ 1.1380544e+01, -3.7536097e-01, -2.4740601e-01, ...,
        -8.5533142e-02,  8.3940369e+01, -3.6654502e-02],
       ...,
       [ 5.7016551e-01,  7.1432638e-01, -2.6156902e-01, ...,
         8.9793491e-01,  7.0077667e+01,  1.5984240e-01],
       [ 9.6772781e+01,  7.7801605e+01,  8.0399284e+01, ...,
         1.0041527e+02,  8.7362343e+01, -7.3107421e-02],
       [ 2.0749067e+01,  2.8238533e+01,  1.9689993e+01, ...,
         2.6897356e+01,  1.5008966e+02,  1.2111664e-02]], dtype=float32)}"
GIN,0.001,1000,0.05,512,"{'mse': 89.292305, 'torch_mse': 89.29231262207031, 'mae': 6.4185014, 'r2': 0.9708651315621695, 'rmse': 9.449461, 'ev_score': 0.9762594600518545, 'y_true': array([[  4.,  13.,   6., ...,  21., 262.,   7.],
       [  0.,   0.,   0., ...,   0.,  99.,   0.],
       [ 12.,   0.,   0., ...,   0.,  85.,   0.],
       ...,
       [  1.,   1.,   0., ...,   1.,  71.,   0.],
       [ 98.,  79.,  81., ..., 101.,  89.,   0.],
       [ 22.,  29.,  20., ...,  27., 152.,   0.]], dtype=float32), 'y_pred': array([[  4.40065   ,  10.736297  ,   5.7065325 , ...,  22.991539  ,
        248.32362   ,   7.435917  ],
       [  1.3766181 ,  -2.5421443 ,  -0.55639243, ...,   1.0183208 ,
         89.88458   ,   1.0355399 ],
       [ 17.449352  ,  -2.4665391 ,   1.8691919 , ...,   3.1562448 ,
         78.66187   ,  -0.86727875],
       ...,
       [  2.0026636 ,   4.635853  ,   1.566616  , ...,  -0.66720235,
         62.632774  ,   1.5247911 ],
       [ 79.39668   ,  80.45464   ,  76.989624  , ...,  88.09267   ,
         83.5863    ,  11.736     ],
       [ 23.058083  ,  21.457834  ,  21.623228  , ...,  22.077196  ,
        140.53204   ,   5.2072816 ]], dtype=float32)}"
GCN,0.001,1000,0.005,32,"{'mse': 723.9737, 'torch_mse': 723.9737548828125, 'mae': 19.170057, 'r2': 0.7653419318892122, 'rmse': 26.90676, 'ev_score': 0.7661305963993073, 'y_true': array([[  4.,  13.,   6., ...,  21., 262.,   7.],
       [  0.,   0.,   0., ...,   0.,  99.,   0.],
       [ 12.,   0.,   0., ...,   0.,  85.,   0.],
       ...,
       [  1.,   1.,   0., ...,   1.,  71.,   0.],
       [ 98.,  79.,  81., ..., 101.,  89.,   0.],
       [ 22.,  29.,  20., ...,  27., 152.,   0.]], dtype=float32), 'y_pred': array([[ 1.08490658e+01,  2.34654064e+01,  2.03086529e+01, ...,
         3.13592567e+01,  1.91631897e+02,  1.43574553e+01],
       [ 4.42751389e+01,  7.22370386e+00, -1.26960802e+01, ...,
         1.21328087e+01,  8.50016556e+01, -2.55367470e+00],
       [ 4.66378822e+01, -1.81131802e+01, -3.97250700e+00, ...,
        -1.36802845e+01,  9.28520126e+01,  7.89892524e-02],
       ...,
       [ 7.27057171e+00, -1.27572908e+01,  1.11502755e+00, ...,
         4.35391808e+00,  7.49628296e+01, -6.22860909e+00],
       [ 6.92902832e+01,  7.98215790e+01,  7.82247543e+01, ...,
         9.02529526e+01,  1.58372711e+02, -4.92041016e+00],
       [ 7.29646454e+01,  4.14941864e+01,  2.51407242e+01, ...,
         4.03332596e+01,  2.23843765e+02, -9.25889683e+00]], dtype=float32)}"
GAT,0.001,1000,0.005,32,"{'mse': 791.0703, 'torch_mse': 791.0703735351562, 'mae': 16.572962, 'r2': 0.719747319652435, 'rmse': 28.125973, 'ev_score': 0.7197997023661932, 'y_true': array([[  4.,  13.,   6., ...,  21., 262.,   7.],
       [  0.,   0.,   0., ...,   0.,  99.,   0.],
       [ 12.,   0.,   0., ...,   0.,  85.,   0.],
       ...,
       [  1.,   1.,   0., ...,   1.,  71.,   0.],
       [ 98.,  79.,  81., ..., 101.,  89.,   0.],
       [ 22.,  29.,  20., ...,  27., 152.,   0.]], dtype=float32), 'y_pred': array([[ 1.30123711e+01,  1.20997429e+01,  1.08007803e+01, ...,
         2.91385365e+01,  2.64380310e+02,  8.56244946e+00],
       [ 1.58356628e+01,  1.54304695e+01, -2.48616648e+00, ...,
         1.66754875e+01,  7.46846390e+01,  1.96494424e+00],
       [ 2.79193401e+00, -2.32732654e+00,  2.03165889e+00, ...,
        -2.06970483e-01,  6.59086533e+01,  3.43304276e+00],
       ...,
       [ 1.48554678e+01,  1.85638905e+01, -9.65665913e+00, ...,
         4.96909142e+00,  5.76632385e+01, -7.26223087e+00],
       [ 7.88007889e+01,  7.75355835e+01,  4.95357475e+01, ...,
         6.89320755e+01,  9.72740021e+01,  1.49487457e+01],
       [ 2.76776981e+01,  2.02667294e+01,  1.79509945e+01, ...,
         1.64245358e+01,  1.48263611e+02,  5.30121660e+00]], dtype=float32)}"
GraphSAGE,0.001,1000,0.005,32,"{'mse': 32.71227, 'torch_mse': 32.7122688293457, 'mae': 4.1905875, 'r2': 0.9886214603732051, 'rmse': 5.719464, 'ev_score': 0.9886404375235239, 'y_true': array([[  4.,  13.,   6., ...,  21., 262.,   7.],
       [  0.,   0.,   0., ...,   0.,  99.,   0.],
       [ 12.,   0.,   0., ...,   0.,  85.,   0.],
       ...,
       [  1.,   1.,   0., ...,   1.,  71.,   0.],
       [ 98.,  79.,  81., ..., 101.,  89.,   0.],
       [ 22.,  29.,  20., ...,  27., 152.,   0.]], dtype=float32), 'y_pred': array([[  2.0689096,   9.589499 ,   6.421681 , ...,  25.63682  ,
        263.6031   ,   8.180296 ],
       [ -7.0400558,   1.9302062,   2.0340707, ...,   2.8831136,
         93.505    ,   1.635047 ],
       [ 15.452505 ,  -4.869563 ,   1.9366388, ...,  -2.5153317,
         89.913376 ,  -2.5220194],
       ...,
       [  3.858237 ,   5.06779  ,   3.2166328, ...,   2.2149916,
         72.46716  ,   3.6056638],
       [ 95.41057  ,  83.23502  ,  82.28444  , ...,  99.84887  ,
         93.47896  ,   4.889678 ],
       [ 22.149263 ,  26.060047 ,  19.655304 , ...,  24.33937  ,
        153.72606  ,  -3.4206693]], dtype=float32)}"
GIN,0.001,1000,0.005,32,"{'mse': 2095.7917, 'torch_mse': 2095.791748046875, 'mae': 33.788822, 'r2': 0.2944649798372789, 'rmse': 45.77982, 'ev_score': 0.4971616019805272, 'y_true': array([[  4.,  13.,   6., ...,  21., 262.,   7.],
       [  0.,   0.,   0., ...,   0.,  99.,   0.],
       [ 12.,   0.,   0., ...,   0.,  85.,   0.],
       ...,
       [  1.,   1.,   0., ...,   1.,  71.,   0.],
       [ 98.,  79.,  81., ..., 101.,  89.,   0.],
       [ 22.,  29.,  20., ...,  27., 152.,   0.]], dtype=float32), 'y_pred': array([[111.73238  ,  94.77317  ,  38.825928 , ...,  69.51961  ,
        122.2413   ,  15.23862  ],
       [ 35.7353   ,  30.932945 ,  13.573251 , ...,  24.990364 ,
         38.995647 ,   5.4476013],
       [ 37.157818 ,  30.886225 ,  11.44646  , ...,  23.000729 ,
         40.418526 ,   3.0691397],
       ...,
       [  2.6387115,   2.2801223,   2.270769 , ...,   2.6707706,
          2.2387404,   1.5531873],
       [ 67.00939  ,  58.727707 ,  30.770693 , ...,  48.47098  ,
         72.66767  ,  16.985249 ],
       [ 64.11854  ,  55.185204 ,  25.34775  , ...,  42.931614 ,
         69.94843  ,  11.785809 ]], dtype=float32)}"
GCN,0.001,1000,0.005,64,"{'mse': 476.05106, 'torch_mse': 476.051025390625, 'mae': 15.373142, 'r2': 0.851448187287346, 'rmse': 21.818594, 'ev_score': 0.8525647471348444, 'y_true': array([[  4.,  13.,   6., ...,  21., 262.,   7.],
       [  0.,   0.,   0., ...,   0.,  99.,   0.],
       [ 12.,   0.,   0., ...,   0.,  85.,   0.],
       ...,
       [  1.,   1.,   0., ...,   1.,  71.,   0.],
       [ 98.,  79.,  81., ..., 101.,  89.,   0.],
       [ 22.,  29.,  20., ...,  27., 152.,   0.]], dtype=float32), 'y_pred': array([[  3.262359  ,  17.787994  ,  -0.69315255, ...,  18.976479  ,
        208.70099   ,  15.256902  ],
       [ 20.694456  ,  -9.536893  ,   4.6042237 , ...,  10.478953  ,
         70.64364   ,   1.2346187 ],
       [ 46.513206  , -22.2905    ,  -0.8891932 , ...,  -5.5807543 ,
         94.97531   ,  -3.119283  ],
       ...,
       [ -2.8093936 ,   3.8379252 ,   4.922007  , ...,   2.2954147 ,
         70.65727   ,   6.4274416 ],
       [ 88.70656   ,  93.50853   ,  70.143105  , ...,  93.87554   ,
        104.0884    , -11.630767  ],
       [ 41.539948  ,  34.70004   ,  27.751677  , ...,  13.983398  ,
        223.19438   ,  -3.2931933 ]], dtype=float32)}"
GAT,0.001,1000,0.005,64,"{'mse': 944.1359, 'torch_mse': 944.1360473632812, 'mae': 17.037205, 'r2': 0.6530978610853901, 'rmse': 30.726795, 'ev_score': 0.6531014939149221, 'y_true': array([[  4.,  13.,   6., ...,  21., 262.,   7.],
       [  0.,   0.,   0., ...,   0.,  99.,   0.],
       [ 12.,   0.,   0., ...,   0.,  85.,   0.],
       ...,
       [  1.,   1.,   0., ...,   1.,  71.,   0.],
       [ 98.,  79.,  81., ..., 101.,  89.,   0.],
       [ 22.,  29.,  20., ...,  27., 152.,   0.]], dtype=float32), 'y_pred': array([[ 1.1229016e+01,  5.7494988e+00,  6.8694329e+00, ...,
         1.6631397e+01,  2.6102960e+02,  3.5912759e+00],
       [ 2.0150122e+01,  1.9089909e+00,  2.5623903e-01, ...,
        -5.9254289e+00,  5.9952034e+01,  1.8328131e+00],
       [ 2.5653776e+01, -1.7154327e+01, -1.8252308e+00, ...,
        -7.2089672e-01,  8.3872734e+01,  1.5789790e+00],
       ...,
       [ 6.3882794e+00, -9.8693061e-01,  5.0377293e+00, ...,
         1.4598426e-01,  6.8161850e+01,  3.3210955e+00],
       [ 8.0678284e+01,  7.8115990e+01,  5.1009632e+01, ...,
         7.1565811e+01,  9.1398979e+01,  1.7787266e+01],
       [ 2.0196739e+01,  2.1041010e+01,  2.5738417e+01, ...,
         2.3926680e+01,  2.2678383e+02,  1.6311139e-01]], dtype=float32)}"
