Model,Learning Rate,Epochs,Weight Decay,Hidden Channels,MSE,Torch MSE,MAE,R2,RMSE,EV Score
GAT,0.05,250,0.05,256,4593.9785,4593.978515625,46.05645,-0.7797527155659231,67.77889,-2.128737313406808e-08
GraphSAGE,0.05,250,0.05,256,712.5093,712.50927734375,18.990133,0.6605552542543257,26.69287,0.6643100423472268
GIN,0.05,250,0.05,256,344.6369,344.63690185546875,11.402479,0.8533634729527847,18.5644,0.8685750535556248
GCN,0.05,250,0.05,512,1838.8165,1838.8160400390625,30.970966,0.22765266805629514,42.881424,0.23047930002212524
GAT,0.05,250,0.05,512,11682.588,11682.5869140625,82.22966,-9.325236002318352,108.08602,-7.661815754004887
GraphSAGE,0.05,250,0.05,512,1125.6781,1125.67822265625,24.547888,0.44525445821294485,33.55113,0.45101666876247953
GIN,0.05,250,0.05,512,615.82947,615.829345703125,16.570267,0.7620143278586367,24.815912,0.8517097703048161
GCN,0.05,250,0.005,32,1205.3575,1205.3575439453125,23.782988,0.543396213536301,34.718258,0.5448153870446342
GAT,0.05,250,0.005,32,2082.2644,2082.26416015625,31.512468,0.1842958329102815,45.631836,0.18517727085522243
GraphSAGE,0.05,250,0.005,32,1083.5206,1083.520751953125,22.718512,0.4665910277521715,32.916874,0.46802349601473126
GIN,0.05,250,0.005,32,136.20808,136.20806884765625,8.159001,0.9333270127008334,11.670822,0.9335300411496844
GCN,0.05,250,0.005,64,959.93097,959.9309692382812,21.47682,0.6369960582916976,30.982752,0.6400982098920005
GAT,0.05,250,0.005,64,1652.0867,1652.0863037109375,29.144848,0.2821666544821402,40.64587,0.2989532266344343
GraphSAGE,0.05,250,0.005,64,351.5123,351.51226806640625,12.953299,0.8224808158043968,18.748661,0.8245958473001208
GIN,0.05,250,0.005,64,111.012856,111.01287078857422,7.353532,0.9471986363370478,10.536263,0.9487873145512172
GCN,0.05,250,0.005,128,2331.1597,2331.159423828125,31.899567,0.06317877497428186,48.282085,0.22936194283621653
GAT,0.05,250,0.005,128,1985.4735,1985.473388671875,33.07329,0.1103242275029027,44.55865,0.11923773799623762
GraphSAGE,0.05,250,0.005,128,236.5098,236.50979614257812,10.362388,0.8648010599867016,15.378875,0.8654119329793113
GIN,0.05,250,0.005,128,173.24756,173.24755859375,9.196135,0.9254629368262901,13.1623535,0.9314596951007843
GCN,0.05,250,0.005,256,1190.9451,1190.9449462890625,23.489447,0.5373337611825367,34.51007,0.5411580801010132
GAT,0.05,250,0.005,256,4632.8345,4632.83447265625,46.1137,-0.9097146509093383,68.064926,-1.7029898507254463e-08
GraphSAGE,0.05,250,0.005,256,589.39264,589.3927001953125,17.18105,0.6803843539591161,24.27741,0.6835652036326272
GIN,0.05,250,0.005,256,215.40689,215.40689086914062,10.341426,0.9126425686497432,14.676746,0.9290786385536194
GCN,0.05,250,0.005,512,1361.3114,1361.3114013671875,25.29698,0.48807224270673444,36.895954,0.48886398332459585
GAT,0.05,250,0.005,512,3534.7476,3534.74658203125,43.129387,-0.43293244992515895,59.453743,1.319817134312221e-07
GraphSAGE,0.05,250,0.005,512,718.3243,718.3242797851562,19.01765,0.674519201517994,26.801573,0.6771084751401629
GIN,0.05,250,0.005,512,169442960.0,169442976.0,1695.7363,-60901.71677226389,13017.025,-59819.57132393973
GCN,0.05,250,0.0005,32,1151.4225,1151.42236328125,22.86528,0.5668596371463641,33.932617,0.5683380493095943
GAT,0.05,250,0.0005,32,3528.389,3528.388916015625,38.408566,-0.3079541673945635,59.40024,-1.7029898507254463e-08
GraphSAGE,0.05,250,0.0005,32,1166.3762,1166.376220703125,24.35669,0.4407388959657897,34.152252,0.46407694475991385
GIN,0.05,250,0.0005,32,217.54684,217.54685974121094,10.5125475,0.8928183076252837,14.74947,0.8983961130891528
GCN,0.05,250,0.0005,64,1703.6829,1703.6827392578125,29.91386,0.27434821814663796,41.275692,0.2775102640901293
GAT,0.05,250,0.0005,64,2277.3647,2277.364990234375,34.210506,0.07675280928697777,47.721745,0.0831901558807918
GraphSAGE,0.05,250,0.0005,64,1014.04926,1014.0491333007812,22.099863,0.5165380248053278,31.84414,0.5179736018180847
GIN,0.05,250,0.0005,64,114.18119,114.18119812011719,7.380765,0.9464885168423166,10.68556,0.947901223387037
GCN,0.05,250,0.0005,128,1712.4164,1712.4166259765625,30.235977,0.26962793137802155,41.38135,0.2729053795337677
GAT,0.05,250,0.0005,128,1827.0231,1827.02294921875,30.727634,0.16952078734531723,42.74369,0.17727129374231612
GraphSAGE,0.05,250,0.0005,128,604.4486,604.4486083984375,17.148008,0.6843503094536495,24.585537,0.6877603956631252
GIN,0.05,250,0.0005,128,98.45805,98.45806121826172,6.858276,0.9541964434271681,9.922604,0.9554389502320971
GCN,0.05,250,0.0005,256,2559.4722,2559.47216796875,36.023182,8.8941579894681e-09,50.591225,0.0
GAT,0.05,250,0.0005,256,3213.9763,3213.976318359375,41.26755,-0.43766954337307523,56.691944,-0.2637832888535091
GraphSAGE,0.05,250,0.0005,256,1102.9279,1102.9278564453125,24.838919,0.41659349877688895,33.210358,0.4255613854953221
GIN,0.05,250,0.0005,256,61.839348,61.83933639526367,5.700412,0.9732864508966211,7.8638,0.9744574385029929
GCN,0.05,250,0.0005,512,1402.8578,1402.8580322265625,25.859814,0.475843849238293,37.454742,0.47729043875421795
GAT,0.05,250,0.0005,512,2619.9805,2619.980224609375,37.20487,-0.24801824274036127,51.185745,-0.2415495983191899
GraphSAGE,0.05,250,0.0005,512,822.66876,822.6687622070312,20.711153,0.623011702806334,28.682203,0.6257904938289097
GIN,0.05,250,0.0005,512,204.03258,204.0325469970703,9.862631,0.9151151002255398,14.283998,0.9185409120150975
GCN,0.05,250,5e-05,32,943.3793,943.3792114257812,21.473614,0.6388891890217498,30.71448,0.6402317583560944
GAT,0.05,250,5e-05,32,1009.2003,1009.2002563476562,22.447361,0.5734864448145104,31.767914,0.5779851973056793
GraphSAGE,0.05,250,5e-05,32,221.21387,221.21383666992188,9.638832,0.8665460644960558,14.8732605,0.8679386121886117
GIN,0.05,250,5e-05,32,192.8667,192.86671447753906,9.53192,0.9107748664109289,13.887646,0.9231250413826534
GCN,0.05,250,5e-05,64,1087.5946,1087.594482421875,21.962328,0.5544619788327644,32.9787,0.5717379535947528
GAT,0.05,250,5e-05,64,1769.1212,1769.12109375,31.962812,0.25425542118989247,42.060925,0.27400183251925875
GraphSAGE,0.05,250,5e-05,64,1070.656,1070.6561279296875,22.773708,0.4749796195420955,32.72088,0.47589645215443205
GIN,0.05,250,5e-05,64,119.16413,119.16413879394531,7.802186,0.9401988116529497,10.916232,0.9426428505352565
GCN,0.05,250,5e-05,128,1136.7266,1136.7265625,22.447216,0.5773018770813293,33.715374,0.5795904781137194
GAT,0.05,250,5e-05,128,2062.182,2062.181396484375,32.2758,0.15944368893453856,45.41125,0.16183019961629594
GraphSAGE,0.05,250,5e-05,128,216.20729,216.207275390625,10.128325,0.8721893010685705,14.703989,0.8736944113458905
GIN,0.05,250,5e-05,128,112.50213,112.50212097167969,7.0406723,0.9529732614942319,10.606702,0.9604504236153194
