Model,Learning Rate,Epochs,Weight Decay,Hidden Channels,Test MSE
GraphSAGE,0.5,500,0.0005,32,2911.604248046875
GIN,0.5,500,0.0005,32,7454.94189453125
GCN,0.5,500,0.0005,64,7532.17626953125
GAT,0.5,500,0.0005,64,1073568874496.0
GraphSAGE,0.5,500,0.0005,64,7679.23193359375
GIN,0.5,500,0.0005,64,7667.56298828125
GCN,0.5,500,0.0005,128,7673.27783203125
GAT,0.5,500,0.0005,128,321238.84375
GraphSAGE,0.5,500,0.0005,128,7747.63671875
GIN,0.5,500,0.0005,128,39154.375
GCN,0.5,500,0.0001,16,4540.6640625
GAT,0.5,500,0.0001,16,26437517312.0
GraphSAGE,0.5,500,0.0001,16,6098.68701171875
GIN,0.5,500,0.0001,16,7472.15966796875
GCN,0.5,500,0.0001,32,6433.53271484375
GAT,0.5,500,0.0001,32,1843823104.0
GraphSAGE,0.5,500,0.0001,32,7667.27734375
GIN,0.5,500,0.0001,32,3200.869140625
GCN,0.5,500,0.0001,64,7566.85205078125
GAT,0.5,500,0.0001,64,498919112704.0
GraphSAGE,0.5,500,0.0001,64,7713.7919921875
GIN,0.5,500,0.0001,64,7534.9228515625
GCN,0.5,500,0.0001,128,7664.734375
GAT,0.5,500,0.0001,128,1555606.625
GraphSAGE,0.5,500,0.0001,128,7724.42529296875
GIN,0.5,500,0.0001,128,1123298944.0
GCN,0.2,50,0.005,16,6829.982421875
GAT,0.2,50,0.005,16,82825016.0
GraphSAGE,0.2,50,0.005,16,7440.51123046875
GIN,0.2,50,0.005,16,7250.7431640625
GCN,0.2,50,0.005,32,2637.178466796875
GAT,0.2,50,0.005,32,15902060.0
GraphSAGE,0.2,50,0.005,32,2973.1669921875
GIN,0.2,50,0.005,32,7453.64697265625
GCN,0.2,50,0.005,64,7548.37451171875
GAT,0.2,50,0.005,64,2579180.0
GraphSAGE,0.2,50,0.005,64,7556.74658203125
GIN,0.2,50,0.005,64,6857.2890625
GCN,0.2,50,0.005,128,7543.90771484375
GAT,0.2,50,0.005,128,4852673536.0
GraphSAGE,0.2,50,0.005,128,7569.51953125
GIN,0.2,50,0.005,128,240055.625
GCN,0.2,50,0.001,16,7124.9755859375
GAT,0.2,50,0.001,16,2285372.25
GraphSAGE,0.2,50,0.001,16,7534.07080078125
GIN,0.2,50,0.001,16,7434.60205078125
GCN,0.2,50,0.001,32,2618.2275390625
GAT,0.2,50,0.001,32,13954.9609375
GraphSAGE,0.2,50,0.001,32,7561.1875
GIN,0.2,50,0.001,32,7464.63037109375
GCN,0.2,50,0.001,64,7562.220703125
GAT,0.2,50,0.001,64,591690.375
GraphSAGE,0.2,50,0.001,64,7555.55615234375
GIN,0.2,50,0.001,64,8198.294921875
GCN,0.2,50,0.001,128,7552.705078125
GAT,0.2,50,0.001,128,1579928320.0
