Model,Learning Rate,Epochs,Weight Decay,Hidden Channels,MSE,Torch MSE,MAE,R2,RMSE,EV Score
GCN,0.05,50,0.005,256,53.74291,1488.50146484375,3.383849,0.993903339569472,7.3309555,0.9948762059211731
GAT,0.05,50,0.005,256,11395.063,53983.62890625,53.903984,-0.2926698161192678,106.747665,-0.04470694065093994
GraphSAGE,0.05,50,0.005,256,28.462946,2323.99609375,4.9385133,0.9967711288560381,5.3350677,0.9972015619277954
GIN,0.05,50,0.005,256,4155.387,4098.76611328125,26.110294,0.5286078159679124,64.462296,0.6041774153709412
GCN,0.05,50,0.005,512,15.230216,1111.5699462890625,2.9878852,0.9982722659237199,3.902591,0.9987762570381165
GAT,0.05,50,0.005,512,39909370.0,264192368.0,6308.523,-4526.367740915922,6317.386,-2888.547607421875
GraphSAGE,0.05,50,0.005,512,66.530945,6231.87451171875,7.01128,0.9924526491572314,8.156651,0.9936009049415588
GIN,0.05,50,0.005,512,125.13536,5210.048828125,4.9237733,0.9858044931110986,11.186392,0.9866673946380615
GCN,0.05,50,0.0005,32,2.2714362,1435.475830078125,0.97754407,0.999742325508417,1.5071285,0.9997506737709045
GAT,0.05,50,0.0005,32,374.76147,681896.375,11.688687,0.957486600810695,19.358757,0.9629778861999512
GraphSAGE,0.05,50,0.0005,32,4.9826365,2187.39990234375,1.5238366,0.999434763639389,2.232182,0.999443769454956
GIN,0.05,50,0.0005,32,5166.9033,5585.33984375,26.856241,0.4138601830924391,71.88117,0.4891977906227112
GCN,0.05,50,0.0005,64,46.53114,1333.2069091796875,5.327471,0.9947214506224983,6.821374,0.9947263598442078
GAT,0.05,50,0.0005,64,10839.198,10839.1962890625,45.350433,-0.2296116881660324,104.11147,-0.016736745834350586
GraphSAGE,0.05,50,0.0005,64,27.765146,2198.349853515625,3.9755409,0.9968502879979144,5.269264,0.9968793988227844
GIN,0.05,50,0.0005,64,1117730.8,20929.888671875,489.13077,-125.79673265642337,1057.2279,-116.33799743652344
GCN,0.05,50,0.0005,128,58.992207,1678.7591552734375,5.162212,0.993307852780044,7.6806383,0.9943622946739197
GAT,0.05,50,0.0005,128,1121.8046,4975363.5,29.658314,0.8727411162704329,33.49335,0.892656147480011
GraphSAGE,0.05,50,0.0005,128,5.5517673,2722.762451171875,1.9926602,0.9993702007999692,2.3562188,0.9994192719459534
GIN,0.05,50,0.0005,128,1369.3041,5924.63525390625,16.643877,0.844664463511365,37.00411,0.8731791377067566
GCN,0.05,50,0.0005,256,22.079128,1297.823974609375,2.7129984,0.9974953167900213,4.6988435,0.9981130957603455
GAT,0.05,50,0.0005,256,4846.918,25252666.0,48.81823,0.4501597345820786,69.61981,0.45631587505340576
GraphSAGE,0.05,50,0.0005,256,34.90595,1512.39404296875,5.0518746,0.9960402265356008,5.908126,0.9961631298065186
GIN,0.05,50,0.0005,256,188.13513,4562.80615234375,6.4138923,0.9786577212861997,13.716236,0.981844961643219
GCN,0.05,50,0.0005,512,28.443737,1502.2314453125,4.940673,0.9967733076624002,5.333267,0.9975988864898682
GAT,0.05,50,0.0005,512,2353736.8,84423784.0,1509.3102,-266.01076769013383,1534.1893,-143.8491973876953
GraphSAGE,0.05,50,0.0005,512,49.743206,6100.47509765625,6.774371,0.994357070198317,7.0528865,0.9952346682548523
GIN,0.05,50,0.0005,512,298.2762,5798.2626953125,6.5566335,0.9661631788782252,17.270676,0.9684025049209595
GCN,0.05,50,5e-05,32,3.4095502,1512.08984375,1.269811,0.99961321645285,1.8464967,0.9996334314346313
GAT,0.05,50,5e-05,32,9726.845,9726.8447265625,38.99613,-0.1034250168153199,98.62477,0.06352221965789795
GraphSAGE,0.05,50,5e-05,32,6.0865536,1697.932373046875,2.0715644,0.9993095339549516,2.4670942,0.9994003772735596
GIN,0.05,50,5e-05,32,5541.8267,5765.2802734375,19.65106,0.3713284126094242,74.44344,0.39952898025512695
GCN,0.05,50,5e-05,64,2.5009618,1432.436279296875,1.201745,0.9997162878451898,1.581443,0.9997383952140808
GAT,0.05,50,5e-05,64,10237.082,621706.6875,41.6612,-0.16130693587294043,101.17847,0.013281047344207764
GraphSAGE,0.05,50,5e-05,64,21.145782,3947.93115234375,2.458421,0.9976011967995226,4.5984545,0.9977473020553589
